Ticket,Magic,Symbol,TF,OsRank,BestOpenShift,CsRank,BestCloseShift,RetOriginal,BestRetOpen,BestRetClose,RetDur25,RetDur50,RetDur100,RetTF1,RetTF2,RetTF3,MAE,MFE
253161640,170413107,USDJPY,240,11.0,-0.3,6.0,-0.4,-0.75,-0.16199999999997772,-0.3310000000000173,-0.43300000000002115,-0.3269999999999982,-0.6620000000000061,-0.3020000000000209,-0.3790000000000191,-0.36299999999999955,0.7560000000000002,0.09799999999998477
253163499,120113183,GBPUSD,60,7.0,0.4,8.0,0.5,-0.009500000000000064,-0.00598999999999994,0.0012599999999998168,-0.003210000000000157,-0.0014300000000000423,-0.006510000000000016,0.0007699999999999374,0.00046999999999997044,0.00024999999999986144,0.010080000000000089,0.0020499999999998852
253170540,200141957,EURJPY,60,6.0,-0.3,7.0,-0.5,-0.5999999999999943,-0.14699999999999136,0.4689999999999941,0.15100000000001046,0.4370000000000118,0.5029999999999859,0.09700000000000841,0.23499999999998522,0.32800000000000296,0.5980000000000132,0.9639999999999986
253177700,200115159,EURJPY,60,10.0,0.3,6.0,-0.4,-0.5,-0.117999999999995,-0.18000000000000682,-0.6890000000000214,-1.0220000000000198,-0.9770000000000039,-0.3340000000000032,-0.2470000000000141,-0.5240000000000009,0.51400000000001,0.012000000000000455
253181965,852412345,NAS100,1440,5.0,0.3,6.0,-0.5,-287.3999999999978,-19.799999999999272,-234.79999999999927,-172.70000000000073,-263.7000000000007,-285.59999999999854,-500.7999999999993,-509.59999999999854,-362.5,359.2000000000007,32.29999999999927
253188631,822412345,US500,1440,5.0,0.2,4.0,-0.5,-27.300000000000182,-1.0,-22.0,-16.599999999999454,,-32.30000000000018,-81.30000000000018,-45.599999999999454,40.100000000000364,41.80000000000018,2.199999999999818
253195122,811521059,US30,15,1.0,0.0,11.0,-0.1,111.0,111.0,647.0,625.0,685.0,611.0,635.0,584.0,650.0,0.0,665.0
253195676,201522170,EURJPY,15,6.0,-0.1,7.0,-0.3,-0.044999999999987494,0.5040000000000191,0.5159999999999911,0.13300000000000978,0.5550000000000068,0.2769999999999868,0.019000000000005457,-0.022999999999996135,0.0730000000000075,0.0689999999999884,0.9819999999999993
253200377,200181268,EURJPY,60,8.0,-0.1,8.0,-0.4,-0.700000000000017,-0.009000000000014552,0.10099999999999909,0.09099999999997976,-0.17600000000001614,-0.21700000000001296,-0.20199999999999818,-0.19400000000001683,-0.18300000000002115,0.6950000000000216,0.6229999999999905
253200475,200412125,EURJPY,240,11.0,-0.3,7.0,-0.1,-0.3889999999999816,0.3780000000000143,0.27600000000001046,-0.1740000000000066,-0.07699999999999818,,-0.2510000000000048,-0.11299999999999955,-0.103999999999985,0.6229999999999905,0.3130000000000166
253205523,110416170,EURUSD,240,6.0,-0.2,11.0,-0.3,0.0032000000000000917,0.0110800000000002,0.00503000000000009,0.003949999999999898,,,0.005509999999999904,,,0.00036999999999998145,0.005130000000000079
253207047,811521059,US30,15,1.0,0.0,8.0,-0.2,25.0,25.0,58.0,56.0,54.0,13.0,51.0,49.0,48.0,0.0,62.0
253224084,170413107,USDJPY,240,6.0,-0.5,6.0,-0.4,-0.75,-0.0010000000000047748,0.6069999999999993,0.2939999999999827,0.43899999999999295,0.47299999999998477,0.18299999999999272,0.27599999999998204,0.4259999999999877,0.7940000000000111,0.6979999999999791
253230565,852412345,NAS100,1440,6.0,0.4,3.0,0.1,230.20000000000073,250.0,317.0,10.100000000002183,6.30000000000291,192.3000000000029,67.70000000000073,209.20000000000073,,35.5,265.90000000000146
253263972,811521059,US30,15,1.0,0.0,7.0,0.1,20.0,20.0,119.0,72.0,88.0,9.0,79.0,58.0,68.0,0.0,200.0
253270177,852412345,NAS100,1440,1.0,0.0,3.0,-0.1,33.10000000000218,33.10000000000218,44.60000000000218,20.0,61.0,-19.399999999997817,124.60000000000218,-231.79999999999927,,2.599999999998545,70.29999999999927
253271541,172417159,USDJPY,1440,6.0,-0.5,6.0,-0.4,-0.5970000000000084,0.17199999999999704,0.5949999999999989,0.33799999999999386,0.5449999999999875,,-1.068000000000012,,,0.6100000000000136,0.6639999999999873
