Ticket,Magic,Symbol,TF,OsRank,BestOpenShift,CsRank,BestCloseShift,RetOriginal,BestRetOpen,BestRetClose,RetDur25,RetDur50,RetDur100,RetTF1,RetTF2,RetTF3,MAE,MFE,TimeToMAE_s,TimeToMFE_s
216440726,113014167,EURUSD,30,7.00000,-0.10000,9.00000,-0.20000,-0.00230,0.00224,0.00087,0.00045,0.00064,-0.00071,-0.00060,0.00096,0.00051,0.00245,0.00171,84431.00000,65891.00000
216440744,111558157,EURUSD,15,6.00000,0.30000,6.00000,-0.30000,-0.00286,0.00347,0.00126,-0.00401,-0.00367,0.00068,-0.00015,-0.00035,-0.00058,0.00758,0.00452,112485.00000,308985.00000
216440747,111524138,EURUSD,15,9.00000,-0.10000,2.00000,0.10000,-0.00004,0.00453,0.00000,0.00040,0.00063,-0.00079,-0.00147,-0.00078,-0.00007,0.00309,0.00153,85029.00000,65889.00000
216440763,223038149,GBPJPY,30,11.00000,-0.40000,7.00000,-0.30000,-0.87500,0.16800,-0.42600,-0.27200,-0.31000,-0.67200,0.03800,0.11600,0.13000,0.87200,0.18400,172275.00000,2475.00000
216440834,22011095,GBPJPY,60,6.00000,-0.10000,8.00000,-0.50000,-0.13800,0.37800,0.18400,0.17400,-0.17500,-0.35000,0.16800,0.26200,0.24300,0.14800,0.39600,24551.00000,2711.00000
216440839,200448115,EURJPY,240,9.00000,-0.40000,6.00000,-0.50000,-0.80000,0.27700,0.03500,-0.14400,-0.08400,-0.14400,0.03400,-0.20900,-0.16000,0.80900,0.31900,257999.00000,8939.00000
216441279,223022483,GBPJPY,30,7.00000,-0.30000,9.00000,-0.30000,-0.11500,0.30100,0.08500,-0.08500,,,0.06800,0.19500,0.15300,0.13200,0.27800,17985.00000,4185.00000
216442430,220132119,GBPJPY,60,9.00000,-0.20000,11.00000,0.50000,-0.89200,-0.36700,-0.25200,-0.80200,-0.34000,-0.53700,-0.01500,-0.23800,-0.40500,0.90600,0.07700,29789.00000,2429.00000
216442457,22012413,GBPJPY,60,6.00000,0.30000,10.00000,-0.50000,-1.02900,-0.35900,-0.31300,-0.62400,-0.45900,-0.81100,0.00900,-0.03700,-0.16300,1.04100,0.14900,121207.00000,5887.00000
216442661,91041141,XAUUSD,240,4.00000,0.30000,6.00000,0.20000,17.12000,17.94000,31.03000,25.70000,31.51000,50.72000,26.03000,38.87000,54.99000,2.66000,17.09000,34.00000,10774.00000
216445292,221510100,GBPJPY,15,6.00000,0.30000,11.00000,-0.50000,-1.40600,-0.71600,-0.41700,-0.36700,-0.50900,-0.99500,-0.13800,-0.05400,0.03200,1.40800,0.06500,119964.00000,2424.00000
216447688,223030112,GBPJPY,30,11.00000,-0.50000,6.00000,-0.40000,-1.44900,-0.24700,-0.66100,-0.48100,-0.61500,-0.68200,-0.14500,-0.13300,-0.12300,1.44400,0.01100,257177.00000,77.00000
216447689,223022108,GBPJPY,30,10.00000,-0.30000,7.00000,-0.50000,-0.70000,-0.24700,-0.31800,-0.33900,-0.73000,-0.62200,-0.12400,-0.14900,-0.26000,0.70300,0.01200,25007.00000,167.00000
216451907,120156886,GBPUSD,60,1.00000,0.00000,3.00000,-0.20000,0.00643,0.00643,0.00852,0.00506,0.00282,0.00179,-0.00058,0.00000,0.00044,0.00118,0.00953,1243.00000,121783.00000
216461031,220418158,GBPJPY,240,9.00000,-0.40000,5.00000,-0.50000,-0.77300,0.06900,-0.15900,-0.02200,-0.14100,-0.48300,0.30100,0.13000,-0.01600,1.14900,0.54400,266079.00000,3399.00000
216461044,220112186,GBPJPY,60,5.00000,-0.10000,6.00000,-0.40000,-0.72100,-0.15700,-0.05800,-0.34300,0.20400,-0.03400,-0.17300,-0.23000,-0.57900,1.09500,0.59800,353394.00000,90714.00000
216461058,220149150,GBPJPY,60,11.00000,-0.40000,9.00000,-0.20000,-1.21900,-0.05900,-0.59500,-0.45700,-0.61800,-0.54800,-0.05100,-0.02400,-0.07500,1.19300,0.07900,182576.00000,176.00000
216462159,220198149,GBPJPY,60,11.00000,-0.20000,11.00000,-0.50000,-0.90000,0.05900,-0.48700,-0.33100,-0.51700,-0.71500,-0.04900,-0.02200,-0.07300,0.84000,0.08100,88076.00000,176.00000
216462161,220112052,GBPJPY,60,6.00000,0.40000,7.00000,-0.40000,-0.63500,-0.43000,0.02500,-0.52700,-0.41600,,-0.01100,-0.12100,-0.04600,0.64600,0.07100,47630.00000,29930.00000
216463019,220159174,GBPJPY,60,9.00000,-0.40000,5.00000,-0.50000,-0.77300,0.06900,-0.15900,-0.00300,-0.06500,-0.43300,0.42500,0.50000,0.44300,1.14900,0.54400,266079.00000,3399.00000
216463748,910142103,XAUUSD,60,6.00000,-0.30000,2.00000,0.20000,35.45000,57.28000,37.52000,11.92000,24.50000,31.93000,4.23000,9.37000,10.85000,1.23000,35.50000,2.00000,27782.00000
216463749,220167120,GBPJPY,60,10.00000,-0.40000,5.00000,-0.50000,-1.26500,0.07400,-0.57400,-0.33800,-0.74800,-0.99000,-0.07900,-0.05200,-0.10300,1.64200,0.05100,262839.00000,159.00000
216463943,121554582,GBPUSD,15,2.00000,-0.10000,10.00000,0.10000,0.00000,0.00023,0.00788,0.00441,0.00484,0.00304,-0.00032,0.00012,-0.00026,0.00051,0.00893,3004.00000,102364.00000
216464402,91303683,XAUUSD,30,6.00000,-0.50000,2.00000,0.10000,8.22000,11.32000,8.34000,10.36000,7.50000,11.44000,11.23000,6.36000,11.36000,0.00000,8.52000,,582.00000
216478055,220177157,GBPJPY,60,10.00000,-0.30000,8.00000,-0.40000,-0.67800,0.19800,-0.26800,-0.18300,-0.41100,-0.61200,0.03400,0.03600,-0.00900,0.68500,0.14100,76739.00000,2339.00000
216478087,223071158,GBPJPY,30,8.00000,0.40000,8.00000,0.50000,-0.74400,0.27800,-0.18900,-0.41800,-1.18400,-0.73400,-0.20600,-0.03500,-0.25200,1.35300,0.00400,69814.00000,3394.00000
216478099,209173158,EURJPY,60,1.00000,0.00000,9.00000,-0.40000,-0.75000,-0.75000,0.23600,0.23200,-0.11000,-0.70400,0.04100,0.02600,0.10300,0.76000,0.46500,87954.00000,24414.00000
216479149,91041141,XAUUSD,240,5.00000,0.30000,2.00000,0.10000,17.12000,23.10000,17.25000,10.21000,23.58000,18.87000,10.14000,19.17000,18.94000,6.69000,18.21000,4513.00000,14833.00000
216480116,221513194,GBPJPY,15,6.00000,0.30000,1.00000,0.00000,0.10500,0.68900,0.10500,-0.28300,-1.06000,-0.40200,-0.13100,-0.07900,-0.10400,1.19600,0.49700,80554.00000,343234.00000
216483265,913065143,XAUUSD,30,6.00000,-0.50000,11.00000,-0.50000,11.22000,18.08000,22.73000,13.08000,16.83000,15.79000,4.73000,0.39000,11.89000,3.46000,25.14000,142.00000,9742.00000
216497720,171538179,USDJPY,15,6.00000,-0.10000,7.00000,-0.50000,-0.50000,0.15000,0.01600,-0.78300,-0.86400,-0.73200,-0.14700,0.02200,0.14600,0.48500,0.27800,19935.00000,5055.00000
216497727,20153090,EURJPY,15,1.00000,0.00000,6.00000,0.20000,0.87000,0.87000,1.26900,0.05000,0.07500,0.40500,0.00700,0.00200,0.01800,0.03600,0.94400,1013.00000,38513.00000
216498605,220163569,GBPJPY,60,8.00000,-0.20000,9.00000,-0.30000,-0.15200,0.26900,0.06400,0.09700,,,0.00400,0.13000,-0.01000,0.16700,0.24300,19533.00000,5733.00000
